SA_STEP        SA_TEMP      FINAL_AVE          ERROR     ACCEPTANCE
    406     0.00738916      -0.428805     0.00229043        0.70411
    407     0.00737101      -0.425276     0.00225441        0.73293
    408     0.00735294      -0.427003     0.00209262        0.72696
    409     0.00733496      -0.415621     0.00245413        0.72864
    410     0.00731707      -0.416765     0.00258636        0.69839
    411     0.00729927      -0.419754     0.00260209        0.69227
    412     0.00728155      -0.430715     0.00273289        0.69599
    413     0.00726392       -0.42969      0.0024689        0.70004
    414     0.00724638      -0.433132     0.00237694        0.69813
    415     0.00722892      -0.437763     0.00234433        0.71043
    416     0.00721154      -0.427189     0.00239549        0.71031
    417     0.00719424       -0.43789     0.00208067        0.71173
    418     0.00717703      -0.444509     0.00251029        0.71732
    419      0.0071599      -0.443589     0.00302582        0.71841
    420     0.00714286       -0.44356     0.00210646        0.70295
    421     0.00712589      -0.437199     0.00276889         0.7021
    422       0.007109       -0.44061     0.00216749        0.70459
    423      0.0070922      -0.439981     0.00249568        0.70357
    424     0.00707547      -0.442524     0.00237961        0.69867
    425     0.00705882      -0.444988     0.00203572          0.701
    426     0.00704225      -0.446642     0.00240364        0.70336
    427     0.00702576      -0.442595     0.00220356         0.7014
    428     0.00700935      -0.444902      0.0019873        0.70448
    429     0.00699301      -0.442263     0.00218169        0.70446
    430     0.00697674      -0.444025     0.00221517         0.7126
    431     0.00696056      -0.442794     0.00216061        0.70916
    432     0.00694444      -0.443407     0.00218354        0.70605
    433     0.00692841       -0.43702     0.00219921        0.70831
    434     0.00691244       -0.44373     0.00319617        0.72154
    435     0.00689655      -0.431807      0.0029387        0.69091
    436     0.00688073      -0.440082     0.00231804        0.69804
    437     0.00686499      -0.440087     0.00336599        0.72337
    438     0.00684932      -0.441892     0.00205669        0.70381
    439     0.00683371      -0.439785     0.00190315        0.70113
    440     0.00681818       -0.43744     0.00225095        0.70164
    441     0.00680272      -0.443604     0.00250619         0.7148
    442     0.00678733      -0.429352     0.00230963          0.688
    443     0.00677201      -0.429184     0.00258327        0.68406
    444     0.00675676      -0.432638     0.00233136        0.68547
    445     0.00674157      -0.439868     0.00210278         0.6992
    446     0.00672646      -0.435029     0.00202917        0.72339
    447     0.00671141      -0.439044     0.00247931        0.74527
    448     0.00669643      -0.443216     0.00233237        0.74782
    449     0.00668151      -0.424203     0.00417431        0.75619
    450     0.00666667      -0.398128     0.00556258        0.76272
    451     0.00665188      -0.399165      0.0054109        0.76474
    452     0.00663717       -0.40668     0.00542262        0.76375
    453     0.00662252      -0.395147     0.00604635        0.76162
    454     0.00660793      -0.408321     0.00494533        0.76586
    455     0.00659341      -0.438274     0.00282727        0.75161
    456     0.00657895      -0.438745     0.00284546        0.75077
    457     0.00656455      -0.438725     0.00218232        0.73648
    458     0.00655022      -0.442248     0.00222932        0.73516
    459     0.00653595      -0.435884     0.00266702         0.7355
