#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         458    -6.57215     -6.6236   0.0195799
         459    -6.56984    -6.62348   0.0195376
         460    -6.56885    -6.62336   0.0194955
         461    -6.56659    -6.62324   0.0194535
         462      -6.565    -6.62311   0.0194119
         463    -6.56376    -6.62298   0.0193703
         464    -6.56222    -6.62285    0.019329
         465    -6.56039    -6.62272   0.0192879
         466    -6.55858    -6.62258    0.019247
         467    -6.55713    -6.62244   0.0192063
         468    -6.55604     -6.6223   0.0191658
         469     -6.5553    -6.62216   0.0191255
         470    -6.55427    -6.62201   0.0190853
         471    -6.55361    -6.62187   0.0190454
         472    -6.55265    -6.62172   0.0190056
         473    -6.55141    -6.62157    0.018966
         474    -6.55085    -6.62142   0.0189266
         475    -6.54872    -6.62127   0.0188873
         476    -6.54727    -6.62111   0.0188483
         477    -6.54586    -6.62096   0.0188094
         478    -6.54385    -6.62079   0.0187708
         479    -6.54285    -6.62063   0.0187323
         480    -6.54157    -6.62047    0.018694
         481     -6.5413     -6.6203   0.0186559
         482    -6.53979    -6.62014   0.0186179
         483    -6.53929    -6.61997   0.0185801
         484    -6.53852     -6.6198   0.0185425
         485    -6.53747    -6.61963    0.018505
         486    -6.53679    -6.61946   0.0184677
         487    -6.53615    -6.61929   0.0184306
         488    -6.53589    -6.61912   0.0183936
         489    -6.53567    -6.61895   0.0183568
         490     -6.5355    -6.61878   0.0183201
         491    -6.53538    -6.61861   0.0182836
         492    -6.53466    -6.61844   0.0182472
         493    -6.53432    -6.61827    0.018211
         494     -6.5337    -6.61809    0.018175
         495    -6.53377    -6.61792   0.0181391
         496     -6.5339    -6.61775   0.0181033
         497    -6.53408    -6.61759   0.0180676
         498    -6.53399    -6.61742   0.0180321
         499    -6.53362    -6.61725   0.0179968
         500    -6.53331    -6.61708   0.0179616
         501     -6.5337    -6.61692   0.0179265
         502    -6.53446    -6.61675   0.0178915
         503    -6.53397    -6.61659   0.0178567
         504    -6.53484    -6.61643    0.017822
         505    -6.53543    -6.61626   0.0177875
         506    -6.53608    -6.61611    0.017753
         507    -6.53646    -6.61595   0.0177187
         508    -6.53624    -6.61579   0.0176845
         509     -6.5364    -6.61564   0.0176504
         510    -6.53661    -6.61548   0.0176165
         511    -6.53655    -6.61533   0.0175827
         512    -6.53817    -6.61518    0.017549
         513    -6.53952    -6.61503   0.0175154
         514    -6.54027    -6.61488    0.017482
         515    -6.54043    -6.61474   0.0174486
         516    -6.54097     -6.6146   0.0174154
         517     -6.5419    -6.61446   0.0173823
         518    -6.54222    -6.61432   0.0173493
         519    -6.54293    -6.61418   0.0173164
         520    -6.54433    -6.61404   0.0172836
         521    -6.54547    -6.61391   0.0172509
         522    -6.54633    -6.61378   0.0172184
         523    -6.54725    -6.61366   0.0171859
         524    -6.54822    -6.61353   0.0171536
         525    -6.54989    -6.61341   0.0171213
         526    -6.55128    -6.61329   0.0170892
         527    -6.55338    -6.61318   0.0170571
         528    -6.55455    -6.61307   0.0170252
         529    -6.55577    -6.61296   0.0169934
         530    -6.55704    -6.61285   0.0169616
