#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         579     1.21859     1.17663   0.0151105
         580        1.22     1.17671   0.0150847
         581     1.22136     1.17678   0.0150589
         582     1.22268     1.17686   0.0150332
         583     1.22395     1.17694   0.0150077
         584     1.22517     1.17702   0.0149822
         585     1.22635     1.17711   0.0149568
         586     1.22748     1.17719   0.0149316
         587     1.22857     1.17728   0.0149064
         588     1.22961     1.17737   0.0148813
         589     1.23061     1.17746   0.0148563
         590     1.23156     1.17755   0.0148314
         591     1.23247     1.17765   0.0148066
         592     1.23334     1.17774   0.0147819
         593     1.23416     1.17784   0.0147573
         594     1.23495     1.17793   0.0147327
         595      1.2357     1.17803   0.0147083
         596     1.23642     1.17813   0.0146839
         597      1.2371     1.17823   0.0146597
         598     1.23775     1.17833   0.0146355
         599     1.23836     1.17843   0.0146114
         600     1.23895     1.17853   0.0145874
         601     1.23951     1.17863   0.0145635
         602     1.24005     1.17873   0.0145396
         603     1.24056     1.17883   0.0145159
         604     1.24105     1.17894   0.0144922
         605     1.24152     1.17904   0.0144686
         606     1.24197     1.17914   0.0144451
         607      1.2424     1.17925   0.0144217
         608     1.24282     1.17935   0.0143984
         609     1.24322     1.17946   0.0143751
         610     1.24361     1.17956   0.0143519
         611     1.24399     1.17967   0.0143288
         612     1.24436     1.17977   0.0143058
         613     1.24472     1.17988   0.0142829
         614     1.24507     1.17998     0.01426
         615     1.24542     1.18009   0.0142372
         616     1.24577      1.1802   0.0142145
         617     1.24611      1.1803   0.0141919
         618     1.24645     1.18041   0.0141693
         619     1.24679     1.18052   0.0141468
         620     1.24714     1.18063   0.0141244
         621     1.24748     1.18073   0.0141021
         622     1.24783     1.18084   0.0140798
         623     1.24818     1.18095   0.0140576
         624     1.24854     1.18106   0.0140355
         625      1.2489     1.18117   0.0140135
         626     1.24928     1.18128   0.0139915
         627     1.24966     1.18138   0.0139696
         628     1.25005     1.18149   0.0139478
         629     1.25045      1.1816   0.0139261
         630     1.25086     1.18171   0.0139044
         631     1.25129     1.18182   0.0138828
         632     1.25173     1.18193   0.0138613
         633     1.25218     1.18205   0.0138398
         634     1.25264     1.18216   0.0138184
         635     1.25312     1.18227   0.0137971
         636     1.25362     1.18238   0.0137759
         637     1.25413     1.18249   0.0137547
         638     1.25466     1.18261   0.0137336
         639     1.25521     1.18272   0.0137126
         640     1.25577     1.18283   0.0136917
         641     1.25634     1.18295   0.0136708
         642     1.25694     1.18306     0.01365
         643     1.25755     1.18318   0.0136292
         644     1.25818      1.1833   0.0136086
