#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         614    0.900643      1.0002  0.00963226
         615    0.899786     1.00003  0.00961798
         616    0.898919    0.999868  0.00960376
         617    0.898042    0.999703  0.00958962
         618    0.897156    0.999537  0.00957553
         619    0.896261     0.99937  0.00956152
         620    0.895359    0.999202  0.00954757
         621    0.894449    0.999033  0.00953368
         622    0.893532    0.998864  0.00951987
         623    0.892609    0.998693  0.00950611
         624    0.891681    0.998522  0.00949242
         625    0.890748    0.998349   0.0094788
         626     0.88981    0.998176  0.00946525
         627    0.888869    0.998002  0.00945176
         628    0.887925    0.997826  0.00943833
         629    0.886978     0.99765  0.00942497
         630    0.886028    0.997473  0.00941168
         631    0.885077    0.997295  0.00939845
         632    0.884124    0.997116  0.00938528
         633     0.88317    0.996936  0.00937218
         634    0.882214    0.996755  0.00935914
         635    0.881258    0.996573  0.00934617
         636    0.880301     0.99639  0.00933326
         637    0.879344    0.996206  0.00932042
         638    0.878386    0.996022  0.00930764
         639    0.877428    0.995836  0.00929493
         640     0.87647     0.99565  0.00928227
         641    0.875512    0.995462  0.00926968
         642    0.874553    0.995274  0.00925716
         643    0.873595    0.995085   0.0092447
         644    0.872635    0.994894   0.0092323
         645    0.871675    0.994703  0.00921996
         646    0.870715    0.994511  0.00920768
         647    0.869753    0.994319  0.00919547
         648    0.868791    0.994125  0.00918332
         649    0.867827     0.99393  0.00917123
         650    0.866861    0.993735  0.00915921
         651    0.865893    0.993538  0.00914724
         652    0.864924    0.993341  0.00913534
         653    0.863952    0.993143   0.0091235
         654    0.862978    0.992944  0.00911172
         655    0.862001    0.992744      0.0091
         656    0.861022    0.992543  0.00908834
         657     0.86004    0.992342  0.00907675
         658    0.859055    0.992139  0.00906521
         659    0.858068    0.991936  0.00905374
         660    0.857078    0.991731  0.00904233
         661    0.856085    0.991526  0.00903098
         662     0.85509     0.99132  0.00901969
         663    0.854092    0.991113  0.00900846
         664    0.853091    0.990905  0.00899729
         665    0.852088    0.990696  0.00898618
         666    0.851084    0.990487  0.00897513
         667    0.850078    0.990276  0.00896414
         668    0.849071    0.990065  0.00895322
         669    0.848063    0.989853  0.00894235
         670    0.847056    0.989639  0.00893154
         671     0.84605    0.989425  0.00892079
         672    0.845046    0.989211   0.0089101
         673    0.844044    0.988995  0.00889948
         674    0.843046    0.988778  0.00888891
         675    0.842053    0.988561  0.00887839
         676    0.841065    0.988343  0.00886794
         677    0.840084    0.988124  0.00885755
         678    0.839112    0.987904  0.00884721
         679    0.838149    0.987683  0.00883693
         680    0.837197    0.987462   0.0088267
         681    0.836256     0.98724  0.00881653
         682    0.835328    0.987017  0.00880642
         683    0.834416    0.986794  0.00879636
         684     0.83352     0.98657  0.00878635
         685    0.832641    0.986345   0.0087764
         686    0.831781     0.98612   0.0087665
         687    0.830941    0.985894  0.00875665
         688    0.830124    0.985668  0.00874685
         689    0.829329    0.985441  0.00873709
         690    0.828558    0.985213  0.00872739
         691    0.827813    0.984986  0.00871773
         692    0.827095    0.984757  0.00870812
         693    0.826405    0.984529  0.00869855
         694    0.825746      0.9843  0.00868902
         695    0.825117    0.984071  0.00867954
         696    0.824521    0.983842   0.0086701
         697    0.823958    0.983612  0.00866069
         698    0.823431    0.983383  0.00865132
         699    0.822939    0.983153  0.00864199
         700    0.822483    0.982924  0.00863269
         701    0.822064    0.982694  0.00862343
         702    0.821684    0.982465  0.00861419
         703    0.821342    0.982236  0.00860499
         704    0.821041    0.982007  0.00859581
         705    0.820779    0.981778  0.00858666
         706    0.820557     0.98155  0.00857753
         707    0.820376    0.981322  0.00856843
         708    0.820237    0.981094  0.00855935
         709    0.820138    0.980867  0.00855028
         710    0.820081    0.980641  0.00854124
         711    0.820066    0.980415  0.00853221
         712    0.820092     0.98019   0.0085232
         713    0.820159    0.979965   0.0085142
         714    0.820269    0.979742  0.00850521
         715    0.820419    0.979519  0.00849624
         716    0.820611    0.979297  0.00848727
         717    0.820844    0.979076  0.00847831
         718    0.821116    0.978856  0.00846935
         719    0.821428    0.978637   0.0084604
         720    0.821779    0.978419  0.00845146
         721    0.822168    0.978202  0.00844251
         722    0.822594    0.977987  0.00843357
         723    0.823056    0.977773  0.00842463
         724    0.823554     0.97756  0.00841569
         725    0.824087    0.977348  0.00840674
         726    0.824653    0.977138  0.00839779
         727    0.825251    0.976929  0.00838884
         728    0.825882    0.976721  0.00837988
         729    0.826543    0.976515  0.00837092
