#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         562        2.02      2.8284   0.0486397
         563         2.9     2.82853   0.0485535
         564        0.26     2.82397   0.0486805
         565         2.5      2.8234   0.0485977
         566         1.3     2.82071   0.0485863
         567        2.18     2.81958   0.0485138
         568        3.94     2.82155   0.0484685
         569        3.46     2.82267   0.0483963
         570        4.58     2.82575   0.0484095
         571         5.3     2.83009   0.0485182
         572        3.46     2.83119   0.0484459
         573         1.3     2.82852    0.048435
         574         2.9     2.82864   0.0483508
         575         2.5     2.82807   0.0482701
         576        2.02     2.82667   0.0482067
         577        5.86     2.83192   0.0484089
         578         4.1     2.83412   0.0483748
         579        5.14      2.8381   0.0484549
         580         2.9     2.83821   0.0483715
         581         4.1     2.84038    0.048337
         582         2.5     2.83979   0.0482575
         583         2.9      2.8399   0.0481748
         584         2.9        2.84   0.0480924
         585        4.58     2.84297   0.0481021
         586        2.18     2.84184   0.0480333
         587        2.42     2.84112   0.0479569
         588        3.38     2.84204   0.0478841
         589         1.7      2.8401    0.047842
         590         1.3     2.83749   0.0478321
         591        3.38     2.83841     0.04776
         592         2.5     2.83784   0.0476827
         593        1.62     2.83578   0.0476465
         594        3.46     2.83684   0.0475779
         595         1.7     2.83492   0.0475363
         596        5.14     2.83879   0.0476136
         597        3.38      2.8397   0.0475425
         598        5.14     2.84355   0.0476183
         599        7.22     2.85085   0.0480961
         600        5.14     2.85467    0.048167
         601         4.1     2.85674   0.0481314
         602         1.7     2.85482   0.0480898
         603         2.9     2.85489   0.0480101
         604         2.9     2.85497   0.0479307
         605         2.5     2.85438    0.047855
         606        2.02       2.853   0.0477959
         607        3.38     2.85387    0.047725
         608        3.94     2.85566   0.0476799
         609        1.94     2.85415   0.0476253
         610        2.02     2.85279   0.0475669
         611        0.98     2.84972   0.0475877
         612        1.06      2.8468   0.0475997
         613        1.06     2.84388   0.0476112
         614        3.46     2.84489   0.0475443
         615        1.62     2.84289   0.0475086
         616         4.5     2.84558   0.0475076
         617        3.94     2.84736   0.0474637
         618         3.7     2.84874    0.047407
         619        4.82     2.85192   0.0474372
         620         1.7     2.85006   0.0473971
         621         2.9     2.85014   0.0473208
         622        2.42     2.84945   0.0472498
         623        4.82     2.85262   0.0472797
         624         2.5     2.85205   0.0472073
         625        2.02     2.85072   0.0471506
         626        2.02     2.84939   0.0470939
         627        0.74     2.84603   0.0471388
         628         1.7      2.8442   0.0470991
         629         2.9     2.84429   0.0470243
         630        3.06     2.84463   0.0469509
         631         1.3     2.84219   0.0469402
         632        5.14     2.84582   0.0470066
         633        3.46     2.84679   0.0469423
         634         2.9     2.84688   0.0468683
         635        3.38     2.84772   0.0468021
         636         1.3     2.84528   0.0467917
         637        2.18     2.84424   0.0467299
         638         2.9     2.84433   0.0466567
         639         4.5     2.84692   0.0466556
         640        3.94     2.84863   0.0466139
         641        3.38     2.84945   0.0465486
         642        3.94     2.85115   0.0465071
         643         2.5     2.85061    0.046438
         644         3.7     2.85193   0.0463846
         645        2.42     2.85126   0.0463175
         646         2.5     2.85071    0.046249
         647        2.02     2.84943   0.0461953
         648         1.7     2.84765   0.0461581
         649        1.94     2.84626   0.0461081
         650        3.46      2.8472   0.0460469
         651        4.58     2.84986    0.046053
         652         2.5     2.84933   0.0459855
         653        3.94       2.851   0.0459454
         654        3.46     2.85193   0.0458846
         655        1.62     2.85005   0.0458531
         656        3.38     2.85085   0.0457903
         657        0.74     2.84764   0.0458332
         658        1.62     2.84578   0.0458015
         659         2.9     2.84586    0.045732
         660         2.5     2.84533   0.0456657
         661        1.62     2.84348   0.0456343
         662         1.7     2.84175    0.045598
         663        1.06     2.83906   0.0456084
         664        2.02     2.83783   0.0455564
         665         1.3     2.83552   0.0455465
         666        3.38     2.83634   0.0454855
         667        3.46     2.83727   0.0454269
         668        3.38     2.83808   0.0453661
         669         2.9     2.83818   0.0452984
         670        2.42     2.83755   0.0452351
         671        5.14     2.84098   0.0452976
         672         5.3     2.84464   0.0453778
         673        3.46     2.84556   0.0453196
         674        2.02     2.84433   0.0452689
         675        4.58      2.8469   0.0452748
         676         4.5     2.84935   0.0452738
         677        3.46     2.85025   0.0452159
         678         3.7      2.8515   0.0451666
         679        2.42     2.85087   0.0451046
         680        5.78     2.85518   0.0452434
         681        3.46     2.85606   0.0451857
         682        2.42     2.85543    0.045124
         683         2.9     2.85549    0.045058
         684         2.9     2.85556   0.0449921
         685        1.06     2.85293   0.0450028
         686        1.62     2.85114    0.044973
         687        3.46     2.85202   0.0449163
         688         2.9     2.85209   0.0448511
         689        1.94     2.85077   0.0448055
         690        3.46     2.85165   0.0447493
         691        3.46     2.85253   0.0446932
         692        2.42     2.85191   0.0446329
         693        0.58     2.84863   0.0446888
         694         2.5     2.84813   0.0446272
         695         2.9      2.8482   0.0445631
         696         1.7     2.84655   0.0445296
         697        3.46     2.84743   0.0444744
         698        3.38     2.84819   0.0444172
         699        1.62     2.84644   0.0443884
         700        3.38      2.8472   0.0443315
         701        0.74     2.84419   0.0443701
         702         2.5      2.8437   0.0443096
         703         2.5     2.84321   0.0442493
         704         0.9     2.84045   0.0442724
         705        2.02     2.83929   0.0442249
         706         2.9     2.83938   0.0441623
         707         2.9     2.83946      0.0441
         708        1.62     2.83774   0.0440713
         709         1.7     2.83614   0.0440383
         710        2.02     2.83499   0.0439913
         711         2.5     2.83451    0.043932
         712        3.94     2.83607   0.0438977
         713         2.5      2.8356   0.0438387
         714        3.94     2.83714   0.0438045
         715        5.78     2.84126   0.0439362
         716        4.58     2.84369   0.0439419
         717        3.06     2.84399   0.0438817
         718        3.06     2.84429   0.0438216
         719        5.78     2.84837   0.0439504
         720         2.9     2.84844   0.0438894
         721        2.02      2.8473   0.0438436
         722        2.18     2.84637   0.0437926
         723         1.7     2.84479   0.0437608
